(Do Not Modify) Directives,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Directive Code,Created On,Created By,Created By (Delegate),Date TimeStamp,Directive Comments,Directive Status,Directive Title,Directive Version,First Version Date,First Version Date Format,Keywords,Last Updated Date,Last Updated Date Format,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Status,Status Reason,Transition
a362ddf0-72b7-ea11-a812-000d3a530dde,ubCC0vt7KPCSOa9e9WRXu1WjOAObZTxamJLWDa/Qykv0zZ+ZpKcTD5+88rYg8aOOuI7QHtZEEjd+fDQQ66/kJQ==,6/26/2020 12:26,FSC-DIR-20-007,6/26/2020 11:36,Vishal Mohan,,6/26/2020 21:12,This document provides FSC’s formal interpretation of requirements included in FSC-STD-20-007.,approved,FSC Directive on Forest Management Evaluations,n.a.,1-Apr-09,4/1/2009,"dir-20-007, directive, fm, accreditation, advice note",16-Dec-19,12/16/2019,Vishal Mohan,,6/26/2020 17:56,Vishal Mohan,,Active,Active,No
a562ddf0-72b7-ea11-a812-000d3a530dde,U0QSptEMjZTwsBNtFw8MVOEEgP3shh2ng5AZe0ePzF61ZTA3dpaD3JFYwz6hj7amT+kUnyaeiHHT4TavmdKa2g==,6/26/2020 12:27,FSC-DIR-20-011,6/26/2020 11:36,Vishal Mohan,,6/26/2020 21:12,This document provides FSC's formal interpretation of the requirements included in FSC-STD-20-011.,approved,FSC Directive on Chain of Custody Evaluations,n.a.,12-Jul-12,7/12/2012,"dir-20-011, FSC-DIR-20-011, policy & standards, dir, documents, psu, advice, note, evaluations",28-Nov-2017,11/28/2017,Vishal Mohan,,6/26/2020 17:57,Vishal Mohan,,Active,Active,
a762ddf0-72b7-ea11-a812-000d3a530dde,prCsh7CgljLijlZggLiBCCzWeuI75ItQc2k/VULYIOjxCMHLeOs5jivU0H8Zymm8WeH7cGhjcq4o3zWThA9W2g==,6/26/2020 12:31,FSC-DIR-40-004,6/26/2020 11:36,Vishal Mohan,,6/26/2020 21:12,This document provides FSC’s formal interpretation of the requirements included in FSC-STD-40-004.,approved,FSC Directive on Chain of Custody Certification,n.a.,24-Nov-10,11/24/2010,"dir-40-004, directive, coc, FSC-DIR-40-004, policy & standards, directives, documents, dir, psu, advice, note, minor, components, species, origin, non-conforming product, 40-008, 40-009, 40-010, chain of custody, dir-40-004, directive, coc, directiva, certificación, cadena, custodia, Directiva, CdC, Cadena de Custodia",13-Mar-20,3/13/2020,Vishal Mohan,,6/26/2020 18:01,Vishal Mohan,,Active,Active,
a962ddf0-72b7-ea11-a812-000d3a530dde,n5Ui4eUT0WObcTF+O0aXcXGTt8zYeeuKgDT9shmr/4Doq8XWK/QetkXdnUlp3pDlGSwE1uIB+Rkfyny4t6zeyA==,6/26/2020 12:31,FSC-DIR-40-005,6/26/2020 11:36,Vishal Mohan,,6/26/2020 21:12,This document provides FSC's errata and addenda of the requirements included in FSC-STD-40-005.,approved,FSC Directive on FSC Controlled Wood,n.a.,1-Jul-10,7/1/2010,"dir-40-005, directive, cw, FSC-DIR-40-005, dir, policy & standards, psu, documents, advice, note",5-Apr-19,4/5/2019,Vishal Mohan,,6/26/2020 18:01,Vishal Mohan,,Active,Active,
