(Do Not Modify) COC Scenarios Filter,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Filter Code,Created On,Created By,Created By (Delegate),Date TimeStamp,Filter Comments,Filter Description,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Status,Status Reason
77925cc6-7db7-ea11-a812-000d3a530323,UAQDUtRX9ZlXv6hmhnb6Io5oRnSARuh7LIeY0n7la4ogZxQFYSrKAcwY9XCK05iUwphEPhGAPNPi70vwQW2u1Q==,6/26/2020 7:23,1,6/26/2020 12:53,Vishal Mohan,,6/26/2020,Filter 1: Based on user category,Based on user category,Vishal Mohan,,6/26/2020 12:53,Vishal Mohan,,Active,Active
79925cc6-7db7-ea11-a812-000d3a530323,130ljh/c3uh6Sg3UBRmove9ftikTwjqggXLgHSUziKb1IO0WKJ7OUhqDe2O2VFI3cROc8O9RsWdLSQwj+n4qXg==,6/26/2020 7:23,2,6/26/2020 12:53,Vishal Mohan,,6/26/2020,Filter 2: Control system,Control system,Vishal Mohan,,6/26/2020 12:53,Vishal Mohan,,Active,Active
7b925cc6-7db7-ea11-a812-000d3a530323,jdBcPI/C3thgj7LW7ytFWxGSiZRmkLx3vstODop4HpFXsR+72GAS1oEwN/8s56T1OmBLfzKkQ4YT1/Ab8T9TjQ==,6/26/2020 7:23,3,6/26/2020 12:53,Vishal Mohan,,6/26/2020,Filter 3: Supplementary requirements,Supplementary requirements,Vishal Mohan,,6/26/2020 12:53,Vishal Mohan,,Active,Active
