(Do Not Modify) Requirement Type,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Requirement Code,Created On,Created By,Created By (Delegate),Date Timestamp,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Requirement Comments,Requirement Description,Status,Status Reason
405365c9-77b7-ea11-a812-000d3a53014b,8gh56/+ghXODiHghrRlmMNkX6DW8np46FOFosZboeQwV/XCcYyu7l9oOpfL3z473lkZaaiB/nPWhaYzSSX/CcA==,6/26/2020 6:39,1,6/26/2020 12:09,Vishal Mohan,,6/15/2020,Vishal Mohan,,6/26/2020 12:09,Vishal Mohan,,Informative (non-normative),Informative,Active,Active
425365c9-77b7-ea11-a812-000d3a53014b,pnlCJ3DaLv0rik7YOAc1PcOvrEypC9wCVdljtubqX+7dzF9lb+H4fHp2y8RM2ImffDI37bReLUTiTTf0OMAMPg==,6/26/2020 6:39,2,6/26/2020 12:09,Vishal Mohan,,6/15/2020,Vishal Mohan,,6/26/2020 12:09,Vishal Mohan,,Obligatory,Obligatory,Active,Active
445365c9-77b7-ea11-a812-000d3a53014b,srtitS3TlUlyEMmCyl/hYyEbSMH9PzaOtR1CAoNPrEUy24NKHoFJoeSGmtFSPTgbyiWVSS1vLShpiat7+SRgzw==,6/26/2020 6:39,3,6/26/2020 12:09,Vishal Mohan,,6/15/2020,Vishal Mohan,,6/26/2020 12:09,Vishal Mohan,,Optional,Optional,Active,Active
465365c9-77b7-ea11-a812-000d3a53014b,tf75RT2kGI/HbiSVdiWs6frLlETqOM9SMp8CPiuUPkkB4J0oD9nyaXYS6wjXMq6kXV3eXE12AZnQ7fWee4s5bQ==,6/26/2020 6:39,4,6/26/2020 12:09,Vishal Mohan,,6/15/2020,Vishal Mohan,,6/26/2020 12:09,Vishal Mohan,,Explanatory (e.g. NOTES etc.),Explanatory,Active,Active
485365c9-77b7-ea11-a812-000d3a53014b,yW4A7foyxcdMgfbxJW+xAwdoqr5C8Zu9IdlyuzZQsVIsLjGBn7fwBlUPhpHMbPpW/7VleYBp8Kyi+P2HM4YWAA==,6/26/2020 6:39,5,6/26/2020 12:09,Vishal Mohan,,6/15/2020,Vishal Mohan,,6/26/2020 12:09,Vishal Mohan,,Not applicable,Not applicable,Active,Active
4a5365c9-77b7-ea11-a812-000d3a53014b,wqck1CZbcsQjyxgEf5UAqXz7G5uk6Tlu4fIjzohmymqM6LbwJlVIsJiQ49YbUDZ7x7kix/M+hiVjcQUauEsEgg==,6/26/2020 6:39,6,6/26/2020 12:09,Vishal Mohan,,6/18/2020,Vishal Mohan,,6/26/2020 12:09,Vishal Mohan,,Formal,Formal,Active,Active
