(Do Not Modify) Standards Elements Advices,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Created On,Advice Code,Comments,Created By,Created By (Delegate),Date timestamp,Element Id,Modified By,Modified By (Delegate),Modified On,Owner,Record Created On,Status,Status Reason
af47d267-98b7-ea11-a812-000d3a530627,9qOku9l45dXVZUo8SSTR5+qnIO1gM4/PJxUQkHcTQ30g9H36XVJ7q6lPD7vyAuoTKE8ERgonHzfFd0bOqXmhTQ==,6/26/2020 10:33,1,6/26/2020 16:03,ADVICE-40-004-01,,Vishal Mohan,,6/26/2020,217,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
b147d267-98b7-ea11-a812-000d3a530627,fDhwA/YQRhU+kVaP2ZuoK2kW4OHM/fQuKbcS7BZb98bIdqpTsKItpo6BRuAwrFR++R0Fn4D0slQs+93ApvS2fw==,6/26/2020 10:33,2,6/26/2020 16:03,ADVICE-40-004-06,,Vishal Mohan,,6/26/2020,19,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
b347d267-98b7-ea11-a812-000d3a530627,NYzrU5vfFsrAW3UMgcb5KemkakUdWSOuxB+NWlatfgAyh+zBTMzK9LEiXy3vWMtOoCNve7d2m4tCmhoLLp6HvQ==,6/26/2020 10:33,3,6/26/2020 16:03,ADVICE-40-004-07,,Vishal Mohan,,6/26/2020,92,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
b547d267-98b7-ea11-a812-000d3a530627,QnZKu0yBCsCHDYda2mihckS/UWwSa5T7pIsw7mg0BqBN4iar6y/Ca22lA7e1GH31DtBO2dfk20NKa4Xhxqlumw==,6/26/2020 10:33,4,6/26/2020 16:03,ADVICE-40-004-11,,Vishal Mohan,,6/26/2020,119,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
b747d267-98b7-ea11-a812-000d3a530627,r/0XliC6P3O/B8AUZ8aodcYnJe/x6Wx8eUkgnsCw3AMKBLJmdXwp5V56xP68OGtiYOdrbXviAmeYy9wHvS3TOw==,6/26/2020 10:33,5,6/26/2020 16:03,ADVICE-40-004-14,This advice notes applies to all certificate holders that are certified against FSC-STD-40-004 V2-1 and FSC-STD-40-004 V3-0.,Vishal Mohan,,6/26/2020,1,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
b947d267-98b7-ea11-a812-000d3a530627,++vTwopet1sZRAVXnMJQzZq7U++b4VG1K9nQrxa48wrB+0irln/Aqq+HlJf8ZsWaN734hCR8+Sf6W8CmY2Ybkw==,6/26/2020 10:33,6,6/26/2020 16:03,ADVICE-40-004-15,,Vishal Mohan,,6/26/2020,215,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
bb47d267-98b7-ea11-a812-000d3a530627,LLGvn4sbnvJiCxbUGj9EcX/0Eh0Lq1G1UD3tKS3Yb/7qH362r9u1RqVqCEXUCDQV0BLPRLxqgzNroHenpyIFSQ==,6/26/2020 10:33,7,6/26/2020 16:03,ADVICE-40-004-16,,Vishal Mohan,,6/26/2020,228,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
bd47d267-98b7-ea11-a812-000d3a530627,5Vb8oS1ZxNhRbXyRNusxbb+xZaInEOs3uL2wXSnRI9YgIA1b1v3kcJwYzSTXYPfSQLF4vWMPzeMQ1quAJNpRww==,6/26/2020 10:33,8,6/26/2020 16:03,ADVICE-40-004-17,,Vishal Mohan,,6/26/2020,115,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
bf47d267-98b7-ea11-a812-000d3a530627,hLSkJtrFsIHu9E2XdO3rNmUvaEvZtJ2d/2xqypJeRatcNsSfkYd1WBuWDvU3i+i2zBQkD1nDIsaso8MNVXk3lg==,6/26/2020 10:33,9,6/26/2020 16:03,ADVICE-40-004-19,,Vishal Mohan,,6/26/2020,143,Vishal Mohan,,6/26/2020 16:03,Vishal Mohan,,Active,Active
